match_id;zeitpunkt;spieler;modus;perspektive;map;dauer_min;platz;teams_im_match;team_id;kills;assists;knocks;kopfschuesse;schaden;weitester_kill_m;ueberlebt_min;revives;heilitems;boosts;waffen;zu_fuss_m;gefahren_m;geschwommen_m;roadkills;teamkills;fahrzeuge_zerstoert;mitspieler
a82fe421-7a1c-454b-a977-73e284c46858;2026-08-06T18:16:04Z;Baerli162;Squad;TPP;Baltic_Main;27.8;4;27;12;2;0;1;0;310.3;3.45;15.9;2;0;7;8;1506;4939;0;0;0;0;Lacan123|Thalanthyr
a82fe421-7a1c-454b-a977-73e284c46858;2026-08-06T18:16:04Z;Thalanthyr;Squad;TPP;Baltic_Main;27.8;4;27;12;1;0;0;1;120.6;6.91;19.4;1;9;7;5;1692;5643;0;0;0;0;Baerli162|Lacan123
a82fe421-7a1c-454b-a977-73e284c46858;2026-08-06T18:16:04Z;Lacan123;Squad;TPP;Baltic_Main;27.8;4;27;12;1;1;1;0;434.4;4.62;26.5;1;4;8;6;2835;6044;0;1;0;0;Baerli162|Thalanthyr
10243235-9df0-40c1-9b4a-2dc299e5bf08;2026-08-06T18:44:17Z;Baerli162;Squad;TPP;Baltic_Main;27.3;2;31;15;6;1;5;2;639.4;165.08;23.5;0;1;6;6;3348;1612;0;0;0;0;Lacan123|Thalanthyr
10243235-9df0-40c1-9b4a-2dc299e5bf08;2026-08-06T18:44:17Z;Thalanthyr;Squad;TPP;Baltic_Main;27.3;2;31;15;0;0;0;0;131.6;0;13.5;0;0;2;6;1347;1637;0;0;0;0;Baerli162|Lacan123
10243235-9df0-40c1-9b4a-2dc299e5bf08;2026-08-06T18:44:17Z;Lacan123;Squad;TPP;Baltic_Main;27.3;2;31;15;2;2;1;0;337.8;146.21;27.2;0;2;7;7;3197;1660;0;0;0;0;Baerli162|Thalanthyr
5bfe1132-1ff7-46d7-8326-69874ee2da1e;2026-08-06T19:13:17Z;Lacan123;Squad;TPP;DihorOtok_Main;27.4;6;28;8;2;4;2;1;256.3;18.39;21.1;0;1;2;6;2478;6370;0;0;0;0;Baerli162|Thalanthyr
5bfe1132-1ff7-46d7-8326-69874ee2da1e;2026-08-06T19:13:17Z;Baerli162;Squad;TPP;DihorOtok_Main;27.4;6;28;8;5;2;5;0;698.0;17.82;21.1;0;1;7;9;2531;6470;0;1;0;0;Lacan123|Thalanthyr
5bfe1132-1ff7-46d7-8326-69874ee2da1e;2026-08-06T19:13:17Z;Thalanthyr;Squad;TPP;DihorOtok_Main;27.4;6;28;8;2;1;2;1;85.2;83.31;15.9;0;0;4;4;1760;3616;0;0;0;0;Baerli162|Lacan123
e52cd0ff-2bd1-4050-bfc6-1565c8300f44;2026-08-06T19:41:18Z;Thalanthyr;Squad;TPP;Baltic_Main;27.6;2;28;13;3;3;3;1;436.2;113.31;27.5;1;10;8;5;1839;10038;0;0;0;0;Baerli162|Lacan123
