spieler;waffe;kills;schaden;kopfschuesse;knocks;weitester_knock_m;meiste_knocks_match;level;tier
Baerli162;Vector;117;13890;77;78;0;0;63;0
Baerli162;M416;104;15390;77;86;0;0;61;0
Baerli162;M16A4;83;16148;73;65;0;0;61;0
Baerli162;SKS;60;14926;72;66;0;0;67;0
Baerli162;AUG A3;56;7990;45;39;0;0;38;0
Baerli162;AKM;39;5653;26;31;0;0;29;0
Baerli162;MP5K;39;4793;20;26;0;0;26;0
Baerli162;ACE32;36;5345;25;30;0;0;27;0
Baerli162;Mk47 Mutant;34;7816;39;34;0;0;50;0
Baerli162;VSS;32;5049;15;24;0;0;28;0
Baerli162;M24;31;6834;34;34;0;0;42;0
Baerli162;S1897;28;3279;8;23;0;0;25;0
Baerli162;S686;25;3261;7;23;0;0;21;0
Baerli162;UMP45;25;3703;11;18;0;0;21;0
Baerli162;FNFal;22;4970;20;22;0;0;32;0
Baerli162;Kar98k;22;4800;22;25;0;0;34;0
Baerli162;SCAR-L;22;3158;13;18;0;0;30;0
Baerli162;Mini 14;21;4762;28;25;0;0;29;0
Baerli162;M249;20;2119;12;18;0;0;21;0
Baerli162;S12K;20;2078;7;12;0;0;17;0
Baerli162;Beryl M762;19;3130;12;15;0;0;25;0
Baerli162;Tommy Gun;19;2811;13;20;0;0;19;0
Baerli162;Granate;18;2703;0;19;0;0;24;0
Baerli162;Micro UZI;18;2449;24;12;0;0;20;0
Baerli162;DBS;17;1614;6;11;0;0;16;0
Baerli162;Dragunov;15;3375;5;13;0;0;20;0
Baerli162;Groza;15;1842;6;11;0;0;15;0
Baerli162;Mk14;15;1543;4;10;0;0;16;0
Baerli162;Mk12;11;3449;23;16;0;0;28;0
Baerli162;L6;10;1389;5;10;0;0;14;0
Baerli162;AWM;8;1694;6;9;0;0;15;0
Baerli162;FAMASG2;8;1015;7;6;0;0;11;0
Baerli162;P90;7;1453;8;7;0;0;16;0
Baerli162;G36C;4;740;3;4;0;0;10;0
Baerli162;MP9;4;450;1;3;0;0;4;0
Baerli162;RPD;4;588;1;4;0;0;7;0
Baerli162;JS9;3;421;2;3;0;0;4;0
Baerli162;MG3;3;598;6;2;0;0;11;0
Baerli162;PP-19 Bizon;2;119;1;1;0;0;3;0
Baerli162;BluezoneGrenade;2;103;0;1;0;0;3;0
Baerli162;Molotow;2;304;0;1;0;0;6;0
Baerli162;QBU;2;674;4;2;0;0;8;0
Baerli162;P1911;1;68;0;0;0;0;1;0
Baerli162;Mosin Nagant;1;415;1;2;0;0;5;0
Baerli162;Sawed-off;1;172;0;1;0;0;2;0
Baerli162;K2;0;212;2;0;0;0;14;0
Baerli162;P92;0;240;0;3;0;0;3;0
Baerli162;OriginS12;0;165;0;0;0;0;1;0
Baerli162;Panzerfaust;0;4;0;0;0;0;1;0
Baerli162;QBZ95;0;370;2;1;0;0;10;0
Baerli162;Win1894;0;132;0;0;0;0;1;0
Baerli162;vz61Skorpion;0;150;0;0;0;0;2;0
Lacan123;UMP45;153;18120;68;116;0;0;63;0
Lacan123;Tommy Gun;123;14667;64;94;0;0;57;0
Lacan123;M24;119;23062;87;117;0;0;79;0
Lacan123;M416;104;15501;73;83;0;0;54;0
Lacan123;AUG A3;79;10615;62;48;0;0;45;0
Lacan123;M16A4;67;9882;39;42;0;0;39;0
Lacan123;Kar98k;66;13128;51;70;0;0;54;0
Lacan123;VSS;65;11707;51;49;0;0;51;0
Lacan123;AKM;58;8314;34;45;0;0;35;0
Lacan123;S1897;55;7166;13;48;0;0;31;0
Lacan123;Vector;51;6572;29;41;0;0;31;0
Lacan123;Dragunov;50;11023;39;44;0;0;47;0
Lacan123;Sawed-off;38;3878;4;21;0;0;24;0
Lacan123;S686;36;3996;8;24;0;0;23;0
Lacan123;Micro UZI;34;3858;15;24;0;0;22;0
Lacan123;MP5K;32;3645;16;25;0;0;22;0
Lacan123;S12K;32;3482;9;24;0;0;21;0
Lacan123;Granate;27;4706;0;31;0;0;31;0
Lacan123;ACE32;23;4152;16;18;0;0;21;0
Lacan123;M249;21;2662;11;11;0;0;23;0
Lacan123;Mini 14;18;4901;26;23;0;0;27;0
Lacan123;Mk12;18;2926;5;13;0;0;20;0
Lacan123;Mk47 Mutant;18;3315;11;15;0;0;19;0
Lacan123;FNFal;16;2481;6;11;0;0;18;0
Lacan123;Beryl M762;15;2084;9;12;0;0;15;0
Lacan123;SKS;15;4090;11;14;0;0;23;0
Lacan123;SCAR-L;13;1920;6;16;0;0;13;0
Lacan123;PP-19 Bizon;12;1367;3;6;0;0;12;0
Lacan123;JS9;10;1045;7;7;0;0;11;0
Lacan123;K2;9;977;4;6;0;0;10;0
Lacan123;Mk14;9;867;3;9;0;0;12;0
Lacan123;Mosin Nagant;9;1462;4;7;0;0;13;0
Lacan123;G36C;8;1044;2;6;0;0;9;0
Lacan123;P90;8;1010;6;2;0;0;12;0
Lacan123;P92;7;689;2;6;0;0;10;0
Lacan123;QBZ95;7;1304;8;8;0;0;11;0
Lacan123;Molotow;6;565;0;4;0;0;10;0
Lacan123;DBS;5;619;0;3;0;0;6;0
Lacan123;L6;5;928;1;6;0;0;10;0
Lacan123;Groza;4;564;3;2;0;0;7;0
Lacan123;MG3;4;241;0;2;0;0;5;0
Lacan123;RPD;4;961;3;7;0;0;10;0
